passenger_id,survived
0,0
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,0
541,0
542,1
543,1
544,0
545,1
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,1
578,0
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,0
589,0
590,1
591,1
592,0
593,0
594,1
595,1
596,1
597,0
598,1
599,0
600,1
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,1
641,0
642,1
643,1
644,1
645,0
646,0
647,1
648,0
649,0
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,0
708,0
709,1
710,0
711,1
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,1
721,1
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,1
748,0
749,0
750,0
751,1
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,1
762,0
763,0
764,1
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,0
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,0
782,1
783,0
784,0
