passenger_id,survived
0,1
1,0
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,0
363,1
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,1
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,0
551,1
552,0
553,0
554,0
555,1
556,1
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,1
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,1
622,0
623,1
624,0
625,0
626,1
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,0
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,1
755,0
756,0
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,1
774,1
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,0
